ispb,name,code,full_name
0,BCO DO BRASIL S.A.,1,BANCO DO BRASIL S.A.
208,BRB - BCO DE BRASILIA S.A.,70,BRB - BANCO DE BRASILIA S.A.
38121,SELIC,,BANCO CENTRAL DO BRASIL - SELIC
38166,BACEN,,BANCO CENTRAL DO BRASIL
122327,SANTINVEST S.A. - CFI,539,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
204963,CCR SEARA,430,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA
250699,AGK CC S.A.,272,AGK CORRETORA DE CAMBIO S.A.
315557,UNICRED DO BRASIL,136,COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL
329598,SEFER INVESTIMENTOS DTVM LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL,407,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL
360305,CAIXA ECONOMICA FEDERAL,104,CAIXA ECONOMICA FEDERAL
394460,STN,,SECRETARIA DO TESOURO NACIONAL - STN
411939,FINAMAX S.A. CFI,714,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
416968,BANCO INTER,77,BANCO INTER S.A.
460065,COLUNA S.A. DTVM,423,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS
517645,BCO RIBEIRAO PRETO S.A.,741,BANCO RIBEIRAO PRETO S.A.
556603,BANCO BARI S.A.,330,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
714671,EWALLY IP S.A.,534,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.
795423,BANCO SEMEAR,743,BANCO SEMEAR S.A.
806535,PLANNER CV S.A.,100,PLANNER CORRETORA DE VALORES S.A.
954288,FDO GARANTIDOR CRÉDITOS,541,FUNDO GARANTIDOR DE CREDITOS - FGC
997185,BCO B3 S.A.,96,BANCO B3 S.A.
1023570,BCO RABOBANK INTL BRASIL S.A.,747,BANCO RABOBANK INTERNATIONAL BRASIL S.A.
1027058,CIELO IP S.A.,362,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO
1073966,CCR DE ABELARDO LUZ,322,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ
1181521,BANCO COOPERATIVO SICREDI,748,BANCO COOPERATIVO SICREDI S.A.
1330387,COOPERATIVA DE CRÉDITO POPULAR DO BRASIL,350,COOPERATIVA DE CRÉDITO POPULAR DO BRASIL - CREHNOR
1522368,BCO BNP PARIBAS BRASIL S A,752,BANCO BNP PARIBAS BRASIL S.A.
1658426,COOP COOPERFORTE LTDA.,379,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA
1701201,KIRTON BANK,399,KIRTON BANK S.A. - BANCO MÚLTIPLO
1852137,BCO BRASILEIRO DE CRÉDITO S.A.,378,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA
1858774,BCO BV S.A.,413,BANCO BV S.A.
2038232,BANCO SICOOB S.A.,756,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB
